index,Word,Meaning,Synonyms,Example
0,impede,늦추다; 방해하다; 저해하다,hinder; retard; hamper; obstruct; check; clog; block; stunt; interfere with,"Weeds clog waterways, destroy wildlife habitats, and impede farming."
1,deter,방해하다; 그만두게 하다; 단념시키다; 억제하다,hinder; prevent; obstruct; hamper; thwart; preclude; impede; clog; disturb; interfere; discourage; dissuade; inhibit; restrain,The heavy rain did not deter people from coming to the charity concert.
2,irritate,화나게 하다; 염증을 일으키다; 자극하다,annoy; anger; bother; nettle; exasperate; acerbate; ruffle; inflame,He was irritated to see her dancing with someone else.
3,nervous,신경과민인; 초조한; 신경에 작용하는,on edge; on needles and pins; stressful; tense; jumpy; jittery; fidgety; neurotic,He was so nervous that he couldn't answer any of the questions.
4,contentious,다투기 좋아하는; 논쟁을 불러일으키는,quarrelsome; controversial; polemic; argumentative; battlesome; disputatious; dissentious; agonistic; contradictory; disputable; debatable; controvertible,"He and Mr. Dalton had a famously contentious working relationship, sometimes likened to a cat trying to live in harmony with a dog."
5,reservation,예약; 마음의 거리낌; 유보; 보호구역,booking; doubt; frankly; retain; stockpile; hold; keep; secure,"I knew that restaurant was popular, but it didn't cross my mind to make reservations."
6,available,이용할 수 있는; 입수할 수 있는; 시간이 있는; 여유가 있는,obtainable; usable; accessible; not busy; uncommitted,Is the position still available?
7,ubiquitous,어디에나 있는; 매우 흔한,widely used; appearing everywhere; pervasive; widespread; omnipresent,Recently the ubiquitous telephone has become indispensable to the Korean way of life.
8,enigma,수수께끼; 불가사의한 것이나 사람,mystery; puzzle; wonder; riddle; conundrum,I have known him for more than ten years; but he still remains as an enigma to me.
9,ambivalent,반대감정이 병존하는; 양면가치의; 이도저도 아닌; 어떻게 할지 결정하기 애매한,contradictory; equivocal; unsure; uncertain,She is ambivalent about getting married.
10,emit,가스·냄새·소리 등을 내뿜다; 방출하다,give off; give out; send out; spew; release,Cathode emits electrons in a controlled environment.
11,erode,조금씩 침식하다; 좀먹다; 서서히 손상시키다; 무너뜨리다,gradually wash away; wear away; wear down; eat away; gnaw; corrode; rust; deteriorate; destroy,All of the sediment there has been steadily eroded by the sea.
12,deteriorate,질을 나쁘게 하다; 악화시키다; 타락시키다,adulterate; aggravate; erode; contaminate; degenerate; corrupt; degrade; deprave; maculate; taint; become worse; regress; obsolesce; retrograde,The new government is deteriorating the quality of education more and more.
13,aggravate,병이나 상황을 악화시키다; 괴롭히다; 화나게 하다,deteriorate; worsen; compound; make angry; exacerbate; irritate; annoy; afflict; harass; torment; bother; molest; aggrieve; agonize; infuriate,The lack of rain aggravated the already serious lack of food.
14,confine,한정하다; 제한하다; 가두다; 경계; 국경-범위-영역,box up; restrict; incarcerate; define; limit,He asked that I confine myself to the subject.
15,urgent,긴급히 처리를 요하는; 촉박한,pressing; imperative; imminent,"Because of the urgent nature of business, we arranged to meet immediately after the conference was over."
16,curtail,단축하다; 비용 등을 삭감하다,shorten; reduce; abridge; cut; lessen; cut back on; retrench; cut down; slash; pare down,The evening show was curtailed by an electrical power failure.
17,reduce,줄이다; 감소시키다,lessen; make smaller; lower; diminish; curtail; decrease; contract; shorten; abbreviate; cut back on; cut down; mark down; retrench; cut; slash; trim down,"To reduce risks, the government is planning to assist and restructure smaller businesses."
18,dwindle,줄어들다; 차츰 작아지다; 감소시키다; 품질이 저하되다; 쇠퇴하다,diminish; decrease; wane; lessen; wither; shrivel; shrink; ebb; decline; fade away; backslide,"At this time of the year, the number of students in the school tends to dwindle."
19,decline,정중히 거절하다; 기울다; 쇠퇴하다; 하락하다; 내리막; 타락, refuse; deny; reject; rebuff; repulse; naysay; wane; languish; fall off; go down; lapse,The minister declined to make a statement to the newspapers.
20,deficiency,부족; 결핍; 적자; 심신의 결함,lack; shortage; dearth; red ink; defect; fault; insufficiency,Vitamin deficiency can lead to serious illness.
21,increment,증가량; 증대; 증액; 이익,increase; enlargement; accretion; augmentation; profit; interest; gain; results; returns,Exports may show a double-digit increment next month.
22,fertile,토지가 기름진; 비옥한; 다산의; 작가 등이 창의력이 풍부한,productive; prolific; fruitful; fecund; creative; inventive; original; ingenious,"From the earliest recorded history, humans have tried to farm fertile land reclaimed from floodplains."
23,abundant,풍부한; 많은; 자원 등이 풍족한,plentiful; bountiful; copious; profuse,"Calcium, the body's most abundant mineral, works with phosphorus in maintaining the skeletal system."
24,redundant,여분의; 과다한; 남아도는; 불필요한; 말이 많은; 장황한,superfluous; surplus; inessential; repetitious; verbose; tedious; wordy; prolix,Shawn's article was redundant; he kept saying the same thing over and over again.
